Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2025-08-05;3.56;3.96;3.56;3.96;12024.92
2025-08-06;4.624;4.8455;4.265;4.652;100985.1315
2025-08-07;4.22;4.3115;3.58;3.61;59220.9685
2025-08-08;3.6555;3.73;3.5445;3.73;24749.625
2025-08-11;3.978;4.1395;3.476;3.49;47331.5155
2025-08-12;3.701;3.701;3.701;3.701;166.545
2025-08-13;3.507;3.507;2.875;3.24;67549.342
2025-08-14;3.03;3.2295;3.0;3.0675;79561.323
2025-08-18;3.2545;3.5;3.2545;3.461;28483.1505
2025-08-19;3.4025;3.85;3.4025;3.8395;34147.77
2025-08-20;4.033;4.61;4.0175;4.2405;63685.502
2025-08-21;3.9525;4.2295;3.912;4.17;28728.993
2025-08-22;4.309;4.35;3.88;3.95;14193.0
2025-08-25;3.95;4.23;3.95;4.23;22077.75
2025-08-26;4.204;4.277;4.204;4.277;8756.305
2025-08-27;3.947;4.035;3.947;4.035;592.944
2025-08-28;3.9195;3.9195;3.67;3.8205;15601.9895
2025-08-29;4.1505;4.1505;4.1005;4.1005;3278.7995
2025-09-02;4.55;4.55;4.3285;4.47;22657.24
2025-09-04;4.45;4.49;4.45;4.49;9833.5
2025-09-05;4.2895;5.176;4.2895;5.09;27301.986
2025-09-08;5.088;5.319;5.02;5.02;117495.052
2025-09-09;4.9505;4.98;4.835;4.86;29160.3955
2025-09-10;4.2705;4.3105;4.04;4.1595;162091.055
2025-09-11;4.372;4.6;4.372;4.6;8340.6
2025-09-12;4.663;4.663;4.632;4.632;60547.66
2025-09-15;4.3045;4.3045;4.1855;4.1855;2955.55
2025-09-16;4.1635;4.174;4.163;4.174;65598.9515
2025-09-17;4.256;4.256;4.256;4.256;2128.0
2025-09-18;4.17;4.999;4.03;4.777;40694.229
2025-09-19;4.4935;4.568;4.428;4.428;2832.456
2025-09-22;4.178;4.178;4.112;4.112;7029.0
2025-09-23;4.104;4.198;4.041;4.05;16917.006
2025-09-24;4.137;4.137;3.9135;3.925;6723.489
2025-09-25;4.192;4.609;4.192;4.609;22625.6915
2025-09-26;4.17;4.3285;4.164;4.328;28065.6185
2025-09-29;4.217;4.2495;3.926;3.926;21216.039
